iter	RMSE
209	0.7181728023
210	0.7176746363
211	0.7170995224
212	0.7165206137
213	0.7160206956
214	0.7154137845
215	0.7148795026
216	0.7143601918
217	0.7138717952
218	0.7133730074
219	0.712872167
220	0.7123393704
221	0.7117619555
222	0.7113172171
223	0.7108327277
224	0.7103449145
225	0.7098525823
226	0.7094799731
227	0.7089991606
228	0.7085829069
229	0.7081730875
230	0.7077591571
231	0.7073130441
232	0.7068119863
233	0.7064296875
234	0.7060614495
235	0.7056782027
236	0.7052028158
237	0.7048088812
238	0.7043661143
239	0.7039873054
240	0.7035908799
241	0.7032349867
242	0.7028432736
243	0.7025298711
244	0.7021548527
245	0.7017520421
246	0.7013710293
247	0.7010656695
248	0.7007376938
249	0.70047222
250	0.7000743155
251	0.6997791535
252	0.6993936898
253	0.6990782993
254	0.6988030764
255	0.6984442893
256	0.6981415435
257	0.6977555095
258	0.6974351016
259	0.6970732183
260	0.6967721027
261	0.6964863391
262	0.6961928657
263	0.6959694092
264	0.6957450056
265	0.6955015227
266	0.6952297448
267	0.6948815599
268	0.6946470656
269	0.6944438862
270	0.6941621828
271	0.6939006872
272	0.6935890674
273	0.6933529294
274	0.693032902
275	0.692774094
276	0.6925067664
277	0.6922493139
278	0.6919980708
279	0.6917382533
280	0.6914960186
281	0.6912451488
282	0.6909576758
283	0.6906498199
284	0.6905080825
285	0.6902923378
286	0.690052117
287	0.6897740002
288	0.6895501213
289	0.6893214802
290	0.6892001255
291	0.6890098396
292	0.6887677468
293	0.6885811732
294	0.6883584039
295	0.6881460014
296	0.6879505587
297	0.687701605
298	0.6875379885
299	0.6873415873
300	0.6871949513
301	0.6869391701
302	0.6867674542
303	0.6865820717
304	0.6863339223
305	0.6861416044
306	0.6859776353
307	0.6858545358
308	0.6858012625
309	0.6856378139
310	0.6854666913
311	0.6852198565
312	0.6850763004
313	0.6849048562
314	0.684734687
315	0.6846276993
316	0.6844634321
317	0.684276234
318	0.6841917998
319	0.6841583987
320	0.6838189404
321	0.6836800275
322	0.6835153001
323	0.6833945781
324	0.6832414713
325	0.6830988216
326	0.682917418
327	0.6828006556
328	0.6826518366
329	0.6824180778
330	0.6822567389
331	0.6821744295
332	0.6820190418
333	0.6817889196
334	0.6816670698
335	0.6815627842
336	0.6813826522
337	0.6812176962
338	0.6811158387
339	0.6809950366
340	0.6808525651
341	0.6806971138
342	0.6805660335
343	0.6804252807
344	0.6802831159
345	0.6801404749
346	0.6799816061
347	0.6797638767
348	0.6796679941
349	0.6795308396
350	0.6794242972
351	0.679303739
352	0.679154217
353	0.6789738119
354	0.6788182113
355	0.6787034833
356	0.6785705508
357	0.6784354512
358	0.6782899161
359	0.6782036476
360	0.6780564271
361	0.6779516637
362	0.6778572649
363	0.6776635767
364	0.677488583
365	0.6773159921
366	0.6772588521
367	0.6771634893
368	0.6770684568
369	0.6769435531
370	0.6768944237
371	0.6767713955
372	0.676751798
373	0.6766079051
374	0.6764914683
375	0.676344811
376	0.6763125022
377	0.6762169974
378	0.676121768
379	0.6760524274
380	0.6759673245
381	0.6758890401
382	0.6758657221
383	0.6757809459
384	0.6756688441
385	0.6755417952
386	0.6754532222
387	0.6753723762
388	0.6752243537
389	0.6750891057
390	0.6750405955
391	0.6749643787
392	0.6748282286
393	0.6747361161
394	0.6745916853
395	0.6745134729
396	0.6744112507
397	0.6742570087
398	0.6741661736
399	0.6740442027
400	0.6739480909
401	0.6738180369
402	0.6737355782
403	0.6736818231
404	0.6734468692
405	0.6733760802
406	0.6732837545
407	0.6732259005
408	0.673000207
409	0.6728239504
410	0.6727311735
411	0.6726367601
412	0.6725364736
413	0.6723873529
414	0.672336865
415	0.6722655255
416	0.6722086268
417	0.6721385802
418	0.672083629
419	0.6720065782
420	0.6718941532
421	0.6718016331
422	0.6717175279
423	0.6716088909
424	0.6715157969
425	0.6714367
426	0.6713686651
427	0.6713190278
428	0.6712554807
429	0.6711368658
430	0.6710460572
431	0.6709896134
432	0.6709304931
433	0.67084403
434	0.6707674756
435	0.6706148654
436	0.6705703847
437	0.6704053934
438	0.6703341293
439	0.6702417552
440	0.670185444
441	0.6700997211
442	0.6699677126
443	0.669915827
444	0.6698203745
445	0.6696542855
446	0.669542385
447	0.6694264078
448	0.6693510989
449	0.6692050025
450	0.6691214494
451	0.6691131748
452	0.6690677044
453	0.6689441551
454	0.6687557922
455	0.6686528818
456	0.6686439502
457	0.6685692376
458	0.6684598701
459	0.6684289387
460	0.6683428598
461	0.668264369
462	0.6682275799
463	0.6681628528
464	0.6681250926
465	0.6681132762
466	0.6679872561
467	0.6679601186
468	0.6678936657
469	0.6678593949
470	0.6677829829
471	0.6676571701
472	0.6675853733
473	0.6675132784
474	0.6674527796
475	0.6673996649
476	0.6673436682
477	0.6673130014
478	0.667239146
479	0.6671611349
480	0.6669900396
481	0.6669275868
482	0.6668636376
483	0.6667691226
484	0.6666328896
485	0.6665794538
486	0.6665214691
487	0.6664186151
488	0.666399774
489	0.6663309071
490	0.6662731016
491	0.6661964954
492	0.666141265
493	0.6660501196
494	0.6660116057
495	0.665936759
496	0.6657965785
497	0.6657476911
498	0.6656103794
499	0.6655335219
500	0.6654604119
501	0.6654468474
502	0.665433543
503	0.6653744523
504	0.6653159821
505	0.6651730476
506	0.6651545856
507	0.6651002331
508	0.6650030331
509	0.6648862532
510	0.6647426021
511	0.6646590667
512	0.6646183254
513	0.6645439696
514	0.6645045464
515	0.6644371171
516	0.6643885117
517	0.6642421769
518	0.6642309862
519	0.6641872867
520	0.6641429685
521	0.6640829958
522	0.6640273307
523	0.6639920378
524	0.6639196599
525	0.6637944798
526	0.6637193597
527	0.6636651703
528	0.6635961238
529	0.6635229904
530	0.6634207933
531	0.6633504053
532	0.6633147515
533	0.6632795533
534	0.6632109267
535	0.6631674038
536	0.6631036341
537	0.6629738992
538	0.6628747651
539	0.6627714808
540	0.6627372239
541	0.6626722942
542	0.66255201
543	0.6624814026
544	0.662421853
545	0.6623728538
546	0.6623321411
547	0.6622227728
548	0.6621645268
549	0.662053194
550	0.6620015385
551	0.6619474182
552	0.6619087463
553	0.6618399162
554	0.6617527244
555	0.66166711
556	0.6615246578
557	0.6614295234
558	0.6613473964
559	0.6612413092
560	0.6611748904
561	0.6611302824
562	0.6610993923
563	0.6610544384
564	0.6610190289
565	0.66099964
566	0.6608382488
567	0.6607560479
568	0.6605801147
569	0.6605430016
570	0.6604265388
571	0.660324161
572	0.6602760953
573	0.6601001819
574	0.6600539056
575	0.6600115338
576	0.6599844208
577	0.6599424654
578	0.6599185557
579	0.6598149764
580	0.6597889356
581	0.6595993975
582	0.6595239669
583	0.6594732371
584	0.6594191679
585	0.6592578686
586	0.6591988973
587	0.6591374027
588	0.6590567082
589	0.6589408917
590	0.6589129728
591	0.6588487356
592	0.6588120479
593	0.6587627178
594	0.6587328758
595	0.6586890166
596	0.6586306186
597	0.6585505563
598	0.6584583416
599	0.6583578783
600	0.6581760729
601	0.6581221964
602	0.6581029471
603	0.6580124415
604	0.6578810322
605	0.6578469348
606	0.6577910049
607	0.6577880129
608	0.6576778704
609	0.6576193139
610	0.65755348
611	0.6575309287
612	0.6574118225
613	0.657370323
614	0.6572800855
615	0.657206658
616	0.6570180123
617	0.6569919098
618	0.6569539931
619	0.6568453395
620	0.6568223038
621	0.656735578
622	0.6566926785
623	0.6566378689
624	0.6565909771
625	0.656524849
626	0.6564619753
627	0.65641626
628	0.6563735277
629	0.6563021817
630	0.6561758141
631	0.6561250122
632	0.6559656133
633	0.6559000984
634	0.6558184211
635	0.6557057766
636	0.6556736175
637	0.6555281203
638	0.6554917546
639	0.6554425137
640	0.655419721
641	0.6553373918
642	0.6552993407
643	0.6552946239
644	0.6552569521
645	0.6551862781
646	0.6550511352
647	0.6550061013
648	0.6549227004
649	0.654865386
650	0.6547939656
651	0.6547118585
652	0.654663656
653	0.6545164645
654	0.6544669934
655	0.6544375479
656	0.6543807187
657	0.6542817041
658	0.6542255922
659	0.6541340291
660	0.6540660298
661	0.6540103067
662	0.6538713263
663	0.6537839266
664	0.6536929283
665	0.6536438989
666	0.6535862068
667	0.6535548928
668	0.6535503687
669	0.6534995458
670	0.6534699082
671	0.6534137251
672	0.6534045049
673	0.6533439677
674	0.6532487992
675	0.6532101842
676	0.6531223501
677	0.6531140593
678	0.6530789479
679	0.6530351139
680	0.6529925071
681	0.6528248488
682	0.6527681054
683	0.6526840954
684	0.6526494233
685	0.6526029087
686	0.6524875069
687	0.6524386946
688	0.6523530783
689	0.6522985203
690	0.6522544168
691	0.652211489
692	0.652179276
693	0.652053294
694	0.6520034049
695	0.6519802449
696	0.6518799366
697	0.6517798926
698	0.651693338
699	0.6516796435
700	0.6516410165
701	0.6515694213
702	0.6514699753
703	0.6513942978
704	0.6513127968
705	0.6511936779
706	0.6511662595
707	0.651126422
708	0.6510222343
709	0.650985087
710	0.650957533
711	0.6509324672
712	0.6507931981
713	0.6506928852
714	0.6506346772
715	0.6505006336
716	0.650362735
717	0.6502287956
718	0.6501281924
719	0.6500385628
720	0.6499879953
721	0.6499040686
722	0.6498110312
723	0.649731105
724	0.6496863492
725	0.6496188749
726	0.6495869592
727	0.6495435391
728	0.6494987069
729	0.6494093393
730	0.6493257746
731	0.6492747809
732	0.6491767594
733	0.6491698425
734	0.6490873214
735	0.6490255593
736	0.648989922
737	0.6489438197
738	0.6488549518
739	0.6487883883
740	0.6487341557
741	0.6486267531
742	0.6485876513
743	0.6485155746
744	0.6484060284
745	0.6483563759
746	0.6482802783
747	0.6482378639
748	0.6481112163
749	0.6480401384
750	0.6479680553
751	0.6478793096
752	0.647796903
753	0.6477235996
754	0.6475929508
755	0.6474971965
756	0.6474473839
757	0.6474104797
758	0.6473844211
759	0.6473541238
760	0.6473234587
761	0.6472370875
762	0.6471273106
763	0.6470960034
764	0.6470490416
765	0.6469759896
766	0.6469325795
767	0.6469003081
768	0.6468582986
769	0.6467881459
770	0.6467568358
771	0.6467016521
772	0.6466542837
773	0.6464954107
774	0.6463779118
775	0.6463182967
776	0.646185497
777	0.6461499815
778	0.6461023337
779	0.6461011598
780	0.6460178695
781	0.6459333723
782	0.6457770507
783	0.6456169151
784	0.6455450273
785	0.6455021284
786	0.6454170579
787	0.6453282675
788	0.6452265559
789	0.6451925752
790	0.6451074065
791	0.6449746016
792	0.6449308174
793	0.6448401904
794	0.6447962108
795	0.6447610629
796	0.6447075018
797	0.6446206171
798	0.6445120432
799	0.6444091933
800	0.6443588776
801	0.6443125087
802	0.6441596718
803	0.6441065386
804	0.6440194095
805	0.6439415905
806	0.6438831579
807	0.6437850237
808	0.6437075823
809	0.6436262431
810	0.6435769206
811	0.6435294058
812	0.6434681263
813	0.6433566971
814	0.6432779762
815	0.6431287269
816	0.6430959001
817	0.6430291409
818	0.6429982637
819	0.6428823205
820	0.642838727
821	0.6427601171
822	0.6427276391
823	0.6426958922
824	0.6425977107
825	0.6425540488
826	0.6424309438
827	0.6424002202
828	0.642304381
829	0.6422750586
830	0.6421295846
831	0.6420094931
832	0.6419563231
833	0.6419216973
834	0.641881673
835	0.6417563671
836	0.6416335214
837	0.6415910698
838	0.6414489172
839	0.6413429518
840	0.6412895864
841	0.6412048565
842	0.6411494933
843	0.641111463
844	0.6409904575
845	0.6409288218
846	0.640865668
847	0.6408050926
848	0.6407595543
849	0.6406919577
850	0.6406157216
851	0.6405210769
852	0.6404659078
853	0.6404074888
854	0.6402897313
855	0.6402560591
856	0.6402006544
857	0.6401327043
858	0.6400374668
859	0.6399514564
860	0.6398563991
861	0.6398016258
862	0.6397355876
863	0.6396436698
864	0.6395682872
865	0.6394971599
866	0.6393786487
867	0.6393369637
868	0.6392621011
869	0.6391714439
870	0.6391403353
871	0.6390242062
872	0.6388865071
873	0.6388548674
874	0.6388218651
875	0.6387318739
876	0.6386756318
877	0.6385781429
878	0.6385067343
879	0.6384250072
880	0.63829964
881	0.6381861936
882	0.6380868084
883	0.6379700508
884	0.63789355
885	0.637810138
886	0.6377495468
887	0.6376810514
888	0.6376272745
889	0.6375762613
890	0.6375150857
891	0.6374572906
892	0.6373881881
893	0.6373235169
894	0.6372859357
895	0.6372392356
896	0.6371101364
897	0.6370721538
898	0.6370052315
899	0.6369325656
900	0.6368447883
901	0.6367530787
902	0.6366465151
903	0.6366121683
904	0.6365308104
905	0.6364481967
906	0.6363335666
907	0.6362694443
908	0.636183437
909	0.6361233779
910	0.6360231028
911	0.6359579997
912	0.6358474003
913	0.6357996068
914	0.635719674
915	0.6356840892
916	0.6356299361
917	0.6355731725
918	0.635459586
919	0.6353911589
920	0.6353463394
921	0.6353024648
922	0.6352219595
923	0.6351515508
924	0.6350755551
925	0.6349840828
926	0.6349071015
927	0.6348379036
928	0.6347460676
929	0.6346514774
930	0.6346209461
931	0.6345871915
932	0.6345624725
933	0.6345054675
934	0.6344433425
935	0.6343811111
936	0.6343281733
937	0.6342610321
938	0.6341841919
939	0.6340847081
940	0.6340405679
941	0.6339499632
942	0.6339093776
943	0.6338027503
944	0.6337321677
945	0.6336972958
946	0.633633419
947	0.6335285639
948	0.6334261917
949	0.6333549003
950	0.6333072783
951	0.6332350316
952	0.6331117402
953	0.6330896321
954	0.6330495166
955	0.6330095267
956	0.6329290693
957	0.6328213122
958	0.6327449069
959	0.6326134929
960	0.6325039406
961	0.6324133738
962	0.6323829662
963	0.6323388812
964	0.632200577
965	0.6321371298
966	0.6320905088
967	0.6320424604
968	0.6319372583
969	0.6318920799
970	0.6317840796
971	0.6316481038
972	0.6315801176
973	0.6315162838
974	0.6314631098
975	0.6314204801
976	0.6313794814
977	0.6313252859
978	0.6312482908
979	0.6311151154
980	0.6310141708
981	0.6309198934
982	0.6308628416
983	0.6307409256
984	0.6306370835
985	0.6305795333
986	0.6304936878
987	0.6303909506
988	0.6303408443
989	0.6302737768
990	0.6301687006
991	0.630107752
992	0.6300080585
993	0.6299355467
994	0.6298928473
995	0.6297948474
996	0.6296697505
997	0.6296192238
998	0.6295291267
999	0.6294434914
